재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기,전기,전전기
"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[060310],3S,코스닥시장상장법인,262,전자 부품 제조업,3,2023-03-31,사업보고서,KRW,ifrs-full_ComprehensiveIncome,총포괄손익,1755507278,482195155,754466608
"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[060310],3S,코스닥시장상장법인,262,전자 부품 제조업,3,2023-03-31,사업보고서,KRW,ifrs-full_EarningsPerShareAbstract,주당이익 [abstract],0,0,0
"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[060310],3S,코스닥시장상장법인,262,전자 부품 제조업,3,2023-03-31,사업보고서,KRW,ifrs-full_BasicEarningsLossPerShare,   기본및희석주당이익(손실),45,10,17
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,entity00874803_udf_IS_2023317145820317_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,            매도가능증권 평가이익,2131397,3938812,0
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_OperatingIncomeLoss,      영업이익(손실),10071432183,4494271143,842198469
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_OtherGains,      기타이익,37152884,40658846,1097300545
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_GainsOnSaleOfInvestmentsInAssociates,         관계기업/공동기업투자처분이익,0,0,0
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_LentIncome,         수입임대료,0,0,0
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_MiscellaneousIncome,         잡이익,36907045,40370861,1096857638
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_ReversalsOfProvisionsForConstructionLosses,         공사손실충당부채환입,0,0,0
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,ifrs-full_GainsOnDisposalsOfPropertyPlantAndEquipment,         유형자산처분이익,245839,287985,442907
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_OtherLosses,      기타손실,35481,93298,1539092864
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_AllowanceForOtherDoubtfulAccounts,         기타의대손상각비,0,0,5000000
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_Donations,         기부금,0,0,5000000
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_ImpairmentLossesOnIntangibleAssets,         무형자산손상차손,0,0,0
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,         지분법손실,0,0,0
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_LossesOnTransactionOfDerivativeFinancialInstrument,         파생금융상품거래손실,0,0,0
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_LossesOnValuationOfDerivativeFinancialInstrument,         파생금융상품평가손실,0,0,0
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_MiscellaneousLosses,         잡손실,35481,93298,226115
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,entity00874803_udf_IS_2018810151537562_OtherLosses,         재고자산 폐기손실,0,0,0
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,entity00874803_udf_IS_202231614458842_OtherLosses,         비금융자산손상차손,0,0,1528866749
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses,      판매비와관리비,8451748555,10867738540,8251704822
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_AmortisationExpenseSellingGeneralAdministrativeExpenses,"         무형자산상각비, 판관비",26167183,37460742,63717168
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_BadDebtExpensesSellingGeneralAdministrativeExpenses,"         대손상각비(대손충당금환입), 판관비",139789800,2077721410,15221886
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_BonusSellingGeneralAdministrativeExpenses,"         상여, 판관비",261625600,123075840,53364500
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_CommissionsSellingGeneralAdministrativeExpenses,"         지급수수료, 판관비",782577534,619573917,694942509
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_CommunicationExpensesSellingGeneralAdministrativeExpenses,"         통신비, 판관비",5184479,2874194,3652796
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_DepreciationExpenseSellingGeneralAdministrativeExpenses,"         감가상각비, 판관비",236382387,242360651,327803792
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_EmployeeBenefitsSellingGeneralAdministrativeExpenses,"         복리후생비, 판관비",329217343,356957692,216047690
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_EntertainmentExpensesSellingGeneralAdministrativeExpenses,"         접대비, 판관비",34186100,33238600,26712273
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_ExpenseFromSharebasedPaymentTransactionsWithEmployeesSellingGeneralAdministrativeExpenses,"         주식보상비용(환입), 판관비",340920515,144774477,0
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_FreightExpensesSellingGeneralAdministrativeExpenses,"         운반비, 판관비",135401515,98215617,154889171
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_InsurancePremiumsSellingGeneralAdministrativeExpenses,"         보험료, 판관비",49635464,15904792,18858877
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_OrdinaryDevelopmentExpenseSellingGeneralAdministrativeExpenses,"         경상개발비, 판관비",3708256252,5083158221,4724447538
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_PersonalExpenseSellingGeneralAdministrativeExpenses,"         인건비, 판관비",0,0,0
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_ProvisionForSeveranceIndemnities,"         퇴직급여, 판관비",343020621,319244869,386422537
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_PublicationExpensesSellingGeneralAdministrativeExpenses,"         도서인쇄비, 판관비",14808111,12031184,13368548
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_RentalExpensesSellingGeneralAdministrativeExpenses,"         임차료, 판관비",60737028,28713573,20837372
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_RepairExpensesSellingGeneralAdministrativeExpenses,"         수선비, 판관비",4101500,1603773,11477900
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_SalariesWages,"         급여, 판관비",1621786715,1341132359,1337584870
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_SupplyExpensesSellingGeneralAdministrativeExpenses,"         소모품비, 판관비",36408601,129152289,13962207
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_TaxesDuesSellingGeneralAdministrativeExpenses,"         세금과공과, 판관비",219347366,119110310,116397570
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_TrainingExpensesSellingGeneralAdministrativeExpenses,"         교육훈련비, 판관비",23923605,19443416,13831500
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_TravelExpensesSellingGeneralAdministrativeExpenses,"         여비교통비, 판관비",53339916,37092405,18515840
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_VehicleMaintenanceExpensesSellingGeneralAdministrativeExpenses,"         차량유지비, 판관비",24930920,24898209,19648278
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,ifrs-full_ComprehensiveIncome,      총포괄손익,10382571401,4470638056,1217782666
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,ifrs-full_CostOfSales,      매출원가,30910954355,38242116403,31107817169
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_CostOfSalesFromRenderingOfServices,         용역의 제공으로 인한 수익(매출액)에 대한 매출원가,16068798603,25314905408,22359284951
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_CostOfSalesFromServices,            용역매출원가,16068798603,25314905408,22359284951
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_CostOfSalesFromSaleOfGoods,         재화의 판매로 인한 수익(매출액)에 대한 매출원가,14842155752,12927210995,8748532218
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_CostOfSalesFromSaleOfGoodsProduct,            제품매출원가,14709904623,12858620964,8699407590
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,ifrs-full_CostOfMerchandiseSold,            상품매출원가,132251129,68590031,49124628
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,ifrs-full_BasicEarningsLossPerShare,         기본주당이익(손실),739,287,99
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,ifrs-full_DilutedEarningsLossPerShare,         희석주당이익(손실),739,287,99
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,ifrs-full_FinanceCosts,      금융원가,1043472675,1826102761,387169858
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_InterestExpenseFinanceExpense,         이자비용(금융원가),8037929,5235845,8462189
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_LossesFromFinancialGuaranteeFinanceExpense,         금융보증비용(손실),0,50630,590882
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,         외환차손(금융원가),785301292,699725556,259354504
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_LossesOnForeignExchangeTranslationsFinancialExpense,         외화환산손실(금융원가),250133454,1121090730,118762283
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,ifrs-full_FinanceIncome,      금융수익,4301265908,2533022855,1782537323
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_GainsFromFinancialGuaranteeFinancialIncome,         금융보증(계약)수익,0,50630,590882
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,         외환차익(금융수익),1196010365,863420626,794848197
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_GainsOnForeignExchangeTranslationsFinancialIncome,         외화환산이익(금융수익),219110446,414141866,564676685
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_InterestIncomeFinanceIncome,         이자수익(금융수익),2886145097,1255409733,422421559
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,ifrs-full_GrossProfit,      매출총이익,18523180738,15362009683,9093903291
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,ifrs-full_IncomeTaxExpenseContinuingOperations,      법인세비용(수익),2851410617,1164285360,394032781
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,ifrs-full_OtherComprehensiveIncome,      기타포괄손익,-132360801,393166631,-183958168
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,         당기손익으로 재분류되지 않는항목(세후기타포괄손익),-132360801,393166631,-183958168
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,            확정급여제도의 재측정손익(세후기타포괄손익),-134492198,389227819,-183958168
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,ifrs-full_ProfitLoss,      당기순이익(손실),10514932202,4077471425,1401740834
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,ifrs-full_ProfitLossBeforeTax,      법인세비용차감전순이익(손실),13366342819,5241756785,1795773615
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,ifrs-full_Revenue,      수익(매출액),49434135093,53604126086,40201720460
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,ifrs-full_RevenueFromRenderingOfServices,         용역의 제공으로 인한 수익(매출액),17894672963,29611596721,24360923129
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_RevenueFromServices,            용역매출액,17894672963,29611596721,24360923129
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,ifrs-full_RevenueFromSaleOfGoods,         재화의 판매로 인한 수익(매출액),31539462130,23992529365,15840797331
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_RevenueFromSaleOfGoodsMerchandise,            상품매출액,150950000,96628000,63650000
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[211270],AP위성,코스닥시장상장법인,313,"항공기, 우주선 및 부품 제조업",12,2023-12-31,사업보고서,KRW,dart_RevenueFromSaleOfGoodsProduct,            제품매출액,31388512130,23895901365,15777147331
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[139050],BF랩스,코스닥시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",12,2023-12-31,사업보고서,KRW,dart_OperatingIncomeLoss,      영업이익(손실),1240274551,-5167715494,-3865400971
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[139050],BF랩스,코스닥시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",12,2023-12-31,사업보고서,KRW,dart_OtherGains,      기타수익,19722395107,4536068077,45650332
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[139050],BF랩스,코스닥시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",12,2023-12-31,사업보고서,KRW,dart_OtherLosses,      기타비용,21259998091,1724528851,13142584787
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[139050],BF랩스,코스닥시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",12,2023-12-31,사업보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses,      판매비와관리비,3276084888,6245706408,5224422381
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[139050],BF랩스,코스닥시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",12,2023-12-31,사업보고서,KRW,ifrs-full_ComprehensiveIncome,      당기총포괄이익(손실),-8156562480,-8501712078,-11390344203
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[139050],BF랩스,코스닥시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",12,2023-12-31,사업보고서,KRW,ifrs-full_CostOfSales,      매출원가,16427748123,17887533429,15819976727
"단일 포괄손익계산서, 기능별 분류, 세후 - 별도",[139050],BF랩스,코스닥시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",12,2023-12-31,사업보고서,KRW,ifrs-full_BasicEarningsLossPerShare,         기본주당이익(손실),-1066,-1237,-134
